id;symbol;date;open;high;low;close;adjclose;volume
1;Chips;2021-03-18;92644;41522;80472;18454;44256;18536
2;info-mediaries;2021-03-18;14618;85417;74933;75558;20965;22861
3;Rhode Island Hawaii;2021-03-18;12037;87823;33516;48758;79812;40470
4;invoice;2021-03-18;88082;2096;11661;45050;92772;54363
5;Global;2021-03-18;10475;33365;31423;905;73289;26149
6;New Hampshire enable;2021-03-18;22769;7850;33693;96912;3313;93419
7;Specialist backing up Global;2021-03-18;40816;8250;88557;98404;87687;51587
8;Bedfordshire;2021-03-18;28903;47494;97020;25034;21665;59044
9;deposit;2021-03-18;18491;10917;67910;399;91802;49191
10;West Virginia Games;2021-03-18;92311;14758;75086;48531;978;55616
